date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2010-06-01,-0.05538844940550369,-0.04856011521825465,-0.06772654922524346,0.059823,0.044813,0.033851,0.024838,0.018435,0.004265,0.001116,0.000118,0.000127,-0.000976
2010-07-01,0.06651579901085647,0.07864389028965135,0.06668921635343317,-0.013918,-0.000159,0.007935,0.009597,0.011016,0.001881,0.000856,0.000176,0.000142,0.000211
2010-08-01,-0.04861182288741883,-0.04303916335321212,-0.06442081244161191,0.087271,0.073081,0.035527,0.022601,0.013728,0.001747,0.001025,0.000145,0.000126,0.001381
2010-09-01,0.08392847418803395,0.08255108222352803,0.11371146423852085,-0.027617,-0.017073,-0.001971,0.003909,0.005236,0.001503,0.000346,4.4e-05,0.000125,0.000582
2010-10-01,0.03619305175049092,0.03140364592923994,0.05694275628333578,-0.047609,-0.029154,-0.005208,0.001257,0.006257,0.002339,0.000304,0.000159,0.000112,0.001245
2010-11-01,-0.0022928763797240848,-0.011029094243150794,-0.0036678395286635634,-0.018945,-0.016369,-0.007214,-0.010132,-0.012155,-0.002914,-0.000524,4.6e-05,0.000114,0.000421
2010-12-01,0.06325648750899848,0.06928154297786371,0.06005964369230998,-0.033938,-0.03845,-0.038909,-0.03125,-0.022323,-0.001872,-8.3e-05,0.00022,0.00014,0.001718
2011-01-01,0.02239296981241168,0.021753099831604672,0.01763931413722286,-0.033947,-0.018943,-0.000224,0.004017,0.006702,0.001807,0.001078,5.8e-05,6.6e-05,0.004763
2011-02-01,0.03145657676282454,0.036123469971567346,0.02998571715679965,0.013722,0.009301,-0.000203,-0.004725,-0.00592,-0.00124,0.000241,0.000142,0.000122,0.004931
2011-03-01,-0.0010478617545839342,-0.003986026662994746,-0.0004313779749303137,0.002477,0.000606,-0.000481,-0.001206,-0.002384,-0.001361,7.7e-05,0.000237,6.7e-05,0.009751
2011-04-01,0.028096938770245217,0.03120698225417229,0.032708962451718726,0.021352,0.020522,0.014547,0.018198,0.017115,0.005492,0.000672,0.000208,5.3e-05,0.006439
2011-05-01,-0.013592919455283514,-0.022641749457067206,-0.01339696386039435,0.034299,0.033069,0.024937,0.023058,0.016184,0.003772,0.001021,6.4e-05,1.3e-05,0.004704
2011-06-01,-0.01842618591193279,-0.018835646939503903,-0.022030490274186576,-0.020786,-0.015913,-0.005928,-0.002822,0.000608,0.001331,0.000198,0.000103,3.5e-05,-0.001071
2011-07-01,-0.02170835585666353,-0.029231473001594566,-0.006199096515660862,0.045984,0.043219,0.031082,0.027002,0.021177,0.002698,-0.000921,-8.3e-05,-2.8e-05,0.000886
